Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C9, C92, C93",0402,6,50V 22pF C0G,C1555
"C11, C13, C15, C17, C23, C26, C28, C3, C31, C36, C42, C45, C47, C49, C5, C55, C58, C6, C60, C62, C68, C71, C73, C8, C91",0603,25,50V 100nF X7R,C14663
"C12, C14, C16, C18, C19, C20, C21, C22, C24, C25, C29, C32, C35, C37, C38, C39, C40, C41, C43, C44, C48, C50, C51, C52, C53, C54, C56, C57, C61, C63, C64, C65, C66, C67, C69, C7, C70",0603,37,50V 1uF X5R,C15849
"C27, C30, C33, C34, C4, C46, C59, C72",CP_Elec_8x10.5,8,50V 100uF,C5246561
D1,0603,1,LED RED,C2286
"D10, D11, D12, D13, D14, D15, D16, D18, D19, D2, D20, D21, D22, D23, D25, D26, D27, D28, D29, D3, D30, D32, D33, D34, D35, D6, D7, D8",D_SMA,28,40V 5A,C22452
"D17, D24, D31, D36, D9",0805,5,LED GREEN,C2297
"D4, D5",0603,2,LED YELLOW,C72038
F1,BLX-A fuse holder,1,Fuse 20A,
"F2, F3, F4, F5",BLX-A fuse holder,4,5A,
FB1,0805,1,GZ2012D101TF,C1015
J1,XT-90_Connector,1,XT-90,
"J10, J4, J5, J6, J9",PinSocket_1x08_P2.54mm_Vertical,5,01x08_2.54mm _socket,
"J11, J12, J13, J14",JST_NV_B02P-NV_1x02_P5.00mm_Vertical,4,2P_screw_term,
"J16, J19",PinHeader_2x03_P2.54mm_Vertical,2,02x03_pinheader,
J18,PinHeader_2x02_P2.54mm_Vertical,1,02x02_pinheader,
"J2, J25",AMASS_XT60-M_1x02_P7.20mm_Vertical,2,XT-60,
"J20, J21, J22, J23",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,01x04_JST_PH,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2927038
J7,PinSocket_2x18_P2.54mm_Vertical,1,02x18_2.54mm_socket,
J8,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_2.54mm_socket,
L1,0805,1,15mA 10uH 1.15Ohm,C1046
"L10, L2, L3, L5, L6, L7, L8, L9",L_APV_ANR5040,8,5A 1uH,C167953
L4,L_APV_APH0630,1,3A 15uH,C177243
Q1,SOT-23,1,2N7002,C8545
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-220-3_Horizontal_TabDown,16,IRF3205,C2561
"R1, R10, R17, R18, R19, R20, R26, R27, R28, R29, R30, R31, R32, R38, R39, R40, R46, R47, R48, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91",0402,30,10k 63mW,C25744
"R11, R9",0603,2,1M 63mW,C22935
"R12, R13, R14, R15, R16, R22, R23, R24, R34, R35, R36, R4, R42, R43, R44, R50, R51, R52, R62, R63",0402,20,1k 63mW,C11702
"R25, R37, R45, R53",2512,4,50m 750mW 1%,C620706
"R5, R54, R55, R56, R57, R58, R59, R6, R60, R61, R80",0603,11,5.1K 100mW,C23186
"R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79",0603,16,0R 100mW,C21189
"R7, R8",0603,2,22R 100mW,C23345
SW1,SW_SPST_PTS645,1,SW_Push,C19191552
U1,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,C22460
"U10, U3, U6, U8",SOIC-16_3.9x9.9mm_P1.27mm,4,HIP4082IBZT,C50123
"U11, U4, U7, U9",SOT-23-5,4,INA180A1IDBVR,C122228
U12,SOT-23-6,1,USBLC6-4SC6,C5180279
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega16U2-M,C17317
U5,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
"Y1, Y2",Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,2,16MHz,C783275
