Ref,Val,Package,PosX,PosY,Rot,Side
"Q3","IRF3205","TO-220-3_Horizontal_TabDown",123.460000,-137.840000,0.000000,bottom
"Q4","IRF3205","TO-220-3_Horizontal_TabDown",134.460000,-137.770000,0.000000,bottom
"Q5","IRF3205","TO-220-3_Horizontal_TabDown",145.460000,-137.770000,0.000000,bottom
"Q6","IRF3205","TO-220-3_Horizontal_TabDown",156.460000,-137.770000,0.000000,bottom
"Q7","IRF3205","TO-220-3_Horizontal_TabDown",69.460000,-137.910000,0.000000,bottom
"Q8","IRF3205","TO-220-3_Horizontal_TabDown",80.460000,-137.840000,0.000000,bottom
"Q9","IRF3205","TO-220-3_Horizontal_TabDown",91.460000,-137.840000,0.000000,bottom
"Q10","IRF3205","TO-220-3_Horizontal_TabDown",102.460000,-137.840000,0.000000,bottom
"Q11","IRF3205","TO-220-3_Horizontal_TabDown",107.540000,-82.590001,180.000000,bottom
"Q12","IRF3205","TO-220-3_Horizontal_TabDown",96.540000,-82.660000,180.000000,bottom
"Q13","IRF3205","TO-220-3_Horizontal_TabDown",85.540000,-82.660000,180.000000,bottom
"Q14","IRF3205","TO-220-3_Horizontal_TabDown",74.540000,-82.660000,180.000000,bottom
"Q15","IRF3205","TO-220-3_Horizontal_TabDown",161.040000,-82.590001,180.000000,bottom
"Q16","IRF3205","TO-220-3_Horizontal_TabDown",150.040000,-82.660000,180.000000,bottom
"Q17","IRF3205","TO-220-3_Horizontal_TabDown",139.040000,-82.660000,180.000000,bottom
"Q18","IRF3205","TO-220-3_Horizontal_TabDown",128.040000,-82.660000,180.000000,bottom
